year,lcm_county_id,hh_size,total_number_of_households
2046,06075,two,124120
2046,06081,two,80781
2046,06085,two,188040
2046,06095,two,48734
2046,06097,two,64563
2047,06001,two,176194
2047,06013,two,126838
2047,06041,two,34908
2047,06055,two,16195
2047,06075,two,120182
2047,06081,two,85661
2047,06085,two,194474
2047,06095,two,47655
2047,06097,two,66727
2048,06001,two,177540
2048,06013,two,125966
2048,06041,two,40144
2048,06055,two,16905
2048,06075,two,123044
2048,06081,two,87613
2048,06085,two,197759
2048,06095,two,47694
2048,06097,two,67335
2049,06001,two,179441
2049,06013,two,121888
2049,06041,two,37075
2049,06055,two,16588
2049,06075,two,119768
2049,06081,two,88002
2049,06085,two,203245
2049,06095,two,49842
2049,06097,two,68508
2050,06001,two,173638
2050,06013,two,125801
2050,06041,two,37579
2050,06055,two,16890
2050,06075,two,119667
2050,06081,two,85245
2050,06085,two,194296
2050,06095,two,48435
2050,06097,two,65572
2041,06001,three,96392
2041,06013,three,69063
2041,06041,three,14559
2041,06055,three,5357
2041,06075,three,43649
2041,06081,three,37708
2041,06085,three,116744
2041,06095,three,26120
2041,06097,three,25771
2042,06001,three,97683
2042,06013,three,63171
2042,06041,three,13757
2042,06055,three,5896
2042,06075,three,45083
2042,06081,three,41664
2042,06085,three,112945
2042,06095,three,24593
2042,06097,three,29319
2043,06001,three,98851
2043,06013,three,65873
2043,06041,three,14497
2043,06055,three,8238
2043,06075,three,47478
2043,06081,three,45438
2043,06085,three,113250
2043,06095,three,25257
2043,06097,three,29155
2044,06001,three,103716
2044,06013,three,70095
2044,06041,three,16314
2044,06055,three,7803
2044,06075,three,49018
2044,06081,three,42719
2044,06085,three,114359
2044,06095,three,26731
2044,06097,three,26988
2045,06001,three,103213
2045,06013,three,67486
2045,06041,three,15695
2045,06055,three,8008
2045,06075,three,47312
2045,06081,three,47902
2045,06085,three,116933
2045,06095,three,23651
2045,06097,three,32049
2046,06001,three,101614
2046,06013,three,68228
2046,06041,three,17202
2046,06055,three,7639
2046,06075,three,51436
2046,06081,three,51655
2046,06085,three,118549
2046,06095,three,27416
2046,06097,three,30083
2047,06001,three,99653
2047,06013,three,66945
2047,06041,three,16067
2047,06055,three,7008
2047,06075,three,49000
2047,06081,three,47736
2047,06085,three,117223
2047,06095,three,28231
2047,06097,three,27244
2048,06001,three,101701
2048,06013,three,73417
2048,06041,three,14813
2048,06055,three,6431
2048,06075,three,53708
2048,06081,three,45651
2048,06085,three,126043
2048,06095,three,25985
2048,06097,three,27654
2049,06001,three,99140
2049,06013,three,71956
2049,06041,three,14418
2049,06055,three,7280
2049,06075,three,51540
2049,06081,three,45049
2049,06085,three,118924
2049,06095,three,25962
2049,06097,three,26276
2050,06001,three,100968
2050,06013,three,71449
2050,06041,three,15264
2050,06055,three,7196
2050,06075,three,52027
2050,06081,three,48908
2050,06085,three,120655
2050,06095,three,27201
2050,06097,three,29544
2041,06001,four or more,141385
2041,06013,four or more,104365
2041,06041,four or more,17973
2041,06055,four or more,13669
2041,06075,four or more,54038
2041,06081,four or more,73087
2041,06085,four or more,182048
2041,06095,four or more,38241
2041,06097,four or more,38605
2042,06001,four or more,139900
2042,06013,four or more,106182
2042,06041,four or more,21515
2042,06055,four or more,13168
2042,06075,four or more,52672
2042,06081,four or more,66501
2042,06085,four or more,186837
2042,06095,four or more,39417
2042,06097,four or more,40487
2043,06001,four or more,145063
2043,06013,four or more,109667
2043,06041,four or more,22348
2043,06055,four or more,11938
2043,06075,four or more,52112
2043,06081,four or more,70795
2043,06085,four or more,190331
2043,06095,four or more,38197
2043,06097,four or more,41409
2044,06001,four or more,148084
2044,06013,four or more,109574
2044,06041,four or more,18622
2044,06055,four or more,13214
2044,06075,four or more,54546
2044,06081,four or more,70311
2044,06085,four or more,189168
2044,06095,four or more,39686
2044,06097,four or more,43415
2045,06001,four or more,155113
2045,06013,four or more,116066
2045,06041,four or more,20744
2045,06055,four or more,12754
2045,06075,four or more,56315
2045,06081,four or more,75044
2045,06085,four or more,195513
2045,06095,four or more,40355
2045,06097,four or more,41305
2046,06001,four or more,159268
2046,06013,four or more,114049
2046,06041,four or more,20088
2046,06055,four or more,11497
2046,06075,four or more,58262
2046,06081,four or more,71963
2046,06085,four or more,201126
2046,06095,four or more,43793
2046,06097,four or more,40465
2047,06001,four or more,158095
2047,06013,four or more,116575
2047,06041,four or more,22962
2047,06055,four or more,12297
2047,06075,four or more,60092
2047,06081,four or more,68771
2047,06085,four or more,193959
2047,06095,four or more,40143
2047,06097,four or more,39899
2048,06001,four or more,155376
2048,06013,four or more,109157
2048,06041,four or more,20569
2048,06055,four or more,12974
2048,06075,four or more,60609
2048,06081,four or more,69796
2048,06085,four or more,191267
2048,06095,four or more,44845
2048,06097,four or more,42888
2049,06001,four or more,154901
2049,06013,four or more,114369
2049,06041,four or more,20961
2049,06055,four or more,10611
2049,06075,four or more,60783
2049,06081,four or more,71110
2049,06085,four or more,184426
2049,06095,four or more,39942
2049,06097,four or more,44535
2050,06001,four or more,157771
2050,06013,four or more,114061
2050,06041,four or more,21288
2050,06055,four or more,12161
2050,06075,four or more,59128
2050,06081,four or more,70640
2050,06085,four or more,190976
2050,06095,four or more,42659
2050,06097,four or more,42744
