tract_id,children,density_hh,density_jobs,density_units,hh_obs_growth_13_18,hh_prop_obs_growth_13_18,hh_prop_obs_growth_18_19,hh_prop_sim_growth_13_18,hh_prop_sim_growth_18_19,hh_prop_sim_growth_year,hh_sim_growth_13_18,hh_sim_growth_year,jobs_obs_growth_10_17,jobs_prop_obs_growth_10_17,jobs_prop_obs_growth_17_18,jobs_prop_sim_growth_10_17,jobs_prop_sim_growth_17_18,jobs_prop_sim_growth_year,jobs_sim_growth_10_17,jobs_sim_growth_year,prop_hh_rent,prop_units_mf,sum_acres,total_hh,total_jobs,total_persons,total_units,units_obs_growth_13_18,units_prop_obs_growth_13_18,units_prop_obs_growth_18_19,units_prop_sim_growth_13_18,units_prop_sim_growth_18_19,units_prop_sim_growth_year,units_sim_growth_13_18,units_sim_growth_year
06075010800,489.0,41.85160027247716,6.623221600007078,759.9701949354971,451.0,0.10678397908833474,0.11402173465849316,0.0,0.0,,0,0.0,233.0,0.014858348287336223,0.018072753463722932,0.0,0.0,,0,0.0,0.7664670658682635,0.920926811327694,55.86405262351551,2338.0,370.0,4277.0,2719.0,451.0,0.07084589368717532,0.0,0.0,0.0,,0,0.0
06055201402,608.0,0.14826024211532335,0.08276789168525008,10.708580693660302,198.0,0.04688077130707379,0.06053731273105564,0.0,0.0,,0,0.0,251.0,0.0160062035198343,0.004252412579699514,0.0,0.0,,0,0.0,0.15130434782608695,0.0,7756.631067049515,1150.0,642.0,3079.0,1273.0,187.0,0.02937512665078001,0.0,0.0,0.0,,0,0.0
06085512037,654.0,3.928251360484375,0.4419282780544922,93.25126977549769,156.0,0.03693636527223996,0.03820315851959822,0.0,0.0,,0,0.0,240.0,0.015304736433307698,0.005847067297086832,0.0,0.0,,0,0.0,0.06145833333333333,0.027522935779816515,244.38354674982577,960.0,108.0,2885.0,981.0,149.0,0.023405849577359476,0.026528130872112303,0.0,0.0,,0,0.0
06013359104,482.0,5.666790902661502,0.06374342972622611,87.8487747126094,190.0,0.0449865987290102,0.0634760172325632,0.0,0.0,,0,0.0,113.0,0.007205980070682375,0.0018604305036185374,0.0,0.0,,0,0.0,0.29471316085489313,0.4183142559833507,156.87891352801927,889.0,10.0,2037.0,961.0,49.0,0.007697225699937009,0.015474743008732177,0.0,0.0,,0,0.0
06085503211,1181.0,4.137609050873987,2.2455932757925186,101.30071263817888,247.0,0.05848257834771326,0.0687656853352768,0.0,0.0,,0,0.0,153.0,0.009756769476233659,0.005581291510855612,0.0,0.0,,0,0.0,0.22,0.011555555555555555,265.85402015389707,1100.0,597.0,4568.0,1125.0,194.0,0.030474730322199585,0.004421355145352051,0.0,0.0,,0,0.0
06085512024,1075.0,4.192044736302845,2.153082868191842,107.2979328761219,301.0,0.07126824324964247,0.053484421927437506,0.0,0.0,,0,0.0,545.0,0.03475450565063623,0.03853748900352684,0.0,0.0,,0,0.0,0.352692075015124,0.3385964912280702,394.31831098678975,1653.0,849.0,4469.0,1710.0,321.0,0.05042468264652612,0.013264065436056151,0.0,0.0,,0,0.0
06085512020,1557.0,9.804559935443828,2.9309826091832867,114.90953620982563,230.0,0.054457461619328136,0.10931980745608105,0.0,0.0,,0,0.0,249.0,0.015878664049556738,0.00664439465578049,0.0,0.0,,0,0.0,0.8183601412318556,0.7834467120181405,259.98107174451303,2549.0,762.0,6551.0,2646.0,439.0,0.06896085882188462,0.037581518735492425,0.0,0.0,,0,0.0
06085503711,1561.0,4.156683965834144,1.6000444987163425,118.22254811075383,109.0,0.025808101376116378,0.01998319061025138,0.0,0.0,,0,0.0,34.0,0.0021681709947185906,0.017541201891260495,0.0,0.0,,0,0.0,0.586171310629515,0.19284294234592445,233.11851657828538,969.0,373.0,4621.0,1006.0,489.0,0.07681517076059587,0.0022106775726760254,0.0,0.0,,0,0.0
06001403900,335.0,17.051020683389694,8.456064402160198,270.4098363737091,152.0,0.03598927898320816,0.07052890803618134,0.0,0.0,,0,0.0,581.0,0.03705021611563238,0.005049739938393173,0.0,0.0,,0,0.0,0.6669861044561571,0.8538631346578367,122.39736487054161,2087.0,1035.0,3436.0,2265.0,343.0,0.05388057989955906,0.0,0.0,0.0,,0,0.0
06075023103,1543.0,4.171870337620993,1.301540246761957,84.11901926159246,111.0,0.026281644520632273,0.028211563214472532,0.0,0.0,,0,0.0,389.0,0.024806426968986228,0.03641128271367709,0.0,0.0,,0,0.0,0.9284525790349417,0.7709454265949269,288.1201721828776,1202.0,375.0,3390.0,1301.0,267.0,0.041942025752717986,0.0,0.0,0.0,,0,0.0
