blockgroup_id,density_hh,density_jobs,density_units,income_segment_1_hh,income_segment_6_hh,ln_total_hh,ln_total_jobs,ln_total_units,mean_hh_size,mean_income,ratio_households_to_units,ratio_jobs_to_units,sum_acres,total_hh,total_jobs,total_units,units_after_2000,units_before_1930,units_mf,units_own,units_rent,units_sf
060952529034,0.02375520673588094,0.011499335744757653,84.9714282622719,0.0,38.0,6.666956792429207,5.9427993751267,6.695798917058491,1.6181592039800996,38796.30597014925,0.9703337453646477,0.46971569839307786,33044.38700622211,785.0,380.0,808.0,469.0,96.0,215.0,557.0,251.0,593.0
060952508011,0.06330775466051759,0.3072035620221388,129.83299745755735,1.0,40.0,6.381816017406098,7.959974528080536,6.48768401848461,1.8073701842546064,57038.74371859297,0.898021308980213,4.357686453576864,9318.553396954676,590.0,2863.0,656.0,284.0,10.0,134.0,507.0,149.0,522.0
060971506122,0.019408041626311795,0.1481551602536036,33.317511480611756,0.0,49.0,6.709304340258298,8.740816627567298,6.75110146893676,1.8872727272727272,59782.21212121212,0.9578947368421052,7.312280701754386,42198.00264896735,819.0,6252.0,854.0,443.0,139.0,359.0,350.0,504.0,495.0
060133150001,0.053932713299484174,1.6062510338418874,186.6295830491103,20.0,8.0,5.993961427306569,9.385469458188632,6.456769655572163,1.7980997624703088,41217.1971496437,0.6279434850863422,18.701726844583987,7415.648922868594,400.0,11913.0,636.0,365.0,83.0,136.0,423.0,213.0,500.0
060133040021,0.036208840368479184,0.07183601261858923,118.03977629971496,69.0,12.0,6.617402977974477,7.301822342137932,6.872128101338986,1.9527458492975733,34265.108556832696,0.7740932642487046,1.5357512953367876,20629.321004433066,747.0,1482.0,964.0,490.0,210.0,275.0,581.0,383.0,689.0
060855052023,0.2793068772103855,19.991557704386647,361.4215423226524,0.0,30.0,6.368187186350492,10.637248705981328,7.215975002651466,2.4,53085.27868852459,0.4276267450404115,30.60764144011756,2082.7295730516994,582.0,41657.0,1360.0,917.0,46.0,679.0,613.0,747.0,681.0
060855117071,0.05030966771008153,0.04605159483846012,180.69182356650765,0.0,275.0,7.249215057114389,7.160845906664298,7.47477218239787,2.019704433497537,91549.6615059817,0.7975042541123085,0.7300056721497448,27945.91485744503,1406.0,1287.0,1762.0,573.0,26.0,499.0,1311.0,451.0,1263.0
060971541003,0.008272133609888304,0.004620984982075535,33.007424637726494,0.0,37.0,6.364750756851911,5.783825182329737,6.508769136971681,1.6981132075471699,53733.87650085763,0.8643815201192251,0.4828614008941878,70113.92165777912,580.0,324.0,670.0,197.0,76.0,104.0,488.0,182.0,566.0
060855046021,0.05287438158351197,2.5205345279796956,260.65195133469945,0.0,51.0,6.616065185132817,10.479061050523804,7.10002716662926,2.398172323759791,56581.30548302872,0.6155115511551155,29.34158415841584,14107.912060214585,746.0,35562.0,1211.0,711.0,131.0,428.0,685.0,526.0,783.0
060133780001,0.29788235385428813,0.8887637442865646,315.94624568205154,152.0,29.0,6.82001636467413,7.912423121473704,7.154615356913663,1.669500531349628,47003.27417640808,0.71484375,2.1328125,3070.6824550392153,915.0,2730.0,1279.0,378.0,395.0,562.0,562.0,717.0,717.0
060133551071,0.060040829430916834,0.017892962413187136,190.82242764932525,105.0,41.0,7.097548850614793,5.8888779583328805,7.319202458767848,2.248381877022654,57143.21197411003,0.8005301524188204,0.23856858846918488,20118.642107708198,1208.0,360.0,1508.0,859.0,19.0,325.0,1159.0,349.0,1183.0
060816138004,0.016766573193867398,0.03709813205021823,52.59071795363607,64.0,64.0,6.806829360392176,7.6004023345004,6.953684210870537,1.4946236559139785,55991.32258064516,0.8624641833810889,1.9083094555873925,53856.15909618815,903.0,1998.0,1046.0,365.0,266.0,254.0,599.0,447.0,792.0
060133552001,0.08856803864967752,0.054887235219518465,126.87010255107262,35.0,13.0,6.343880434126331,5.8664680569332965,6.925595197110468,2.2677966101694915,57653.84745762712,0.5579567779960707,0.34577603143418467,6412.148678234483,568.0,352.0,1017.0,614.0,21.0,578.0,282.0,735.0,439.0
060855046011,0.1150038996172678,6.786701790942239,348.37434016883316,0.0,12.0,6.306275286948015,10.382234100838373,7.142036574706802,1.666092943201377,40643.35628227195,0.432753164556962,25.537974683544302,4755.36045230129,547.0,32280.0,1263.0,939.0,9.0,686.0,793.0,470.0,577.0
060133560024,0.0545098106428245,0.030068119744155134,81.78513690251006,91.0,130.0,6.804614520062623,6.210600077024653,6.922643891475888,2.023783783783784,77785.18162162162,0.8876847290640394,0.4896551724137931,16528.13465254543,901.0,497.0,1014.0,368.0,20.0,102.0,825.0,189.0,912.0
060014507013,0.018104703978941372,0.024523927764934353,52.73308236702857,133.0,261.0,7.0587581525186645,7.362010551259734,7.191429330036379,2.561433447098976,109212.53498293515,0.875,1.1852409638554218,64181.21481840241,1162.0,1574.0,1327.0,432.0,33.0,74.0,1119.0,208.0,1253.0
060750601001,0.7758889670956439,3.591465568680775,152.91134439530836,57.0,335.0,7.067319848653475,8.598957493218876,7.133295954896068,2.2119148936170214,135143.8255319149,0.9353551476456504,4.329608938547486,1509.525409823913,1172.0,5425.0,1252.0,92.0,390.0,876.0,85.0,1167.0,376.0
060952535004,0.013146957560340216,0.008587773473645253,50.56337737829596,1.0,16.0,6.507277712385012,6.0822189103764455,6.421622267806518,1.8230994152046784,30797.80701754386,1.0878048780487806,0.7105691056910569,50885.29798411608,669.0,437.0,614.0,142.0,42.0,122.0,421.0,193.0,492.0
060855126021,0.08175102822293545,0.7572495994083709,688.4768398783416,1.0,5.0,6.838405200847344,9.063463176115423,8.057694194815587,1.8705772811918064,25798.511173184357,0.29512349588347053,2.733692210259658,11399.468229689192,932.0,8633.0,3157.0,2663.0,244.0,1152.0,1687.0,1470.0,2005.0
060133010003,0.043644584522551336,0.024079770771062804,95.9820381359568,130.0,32.0,6.546785410760524,5.953243334287784,6.848005274576363,2.0743338008415146,44124.27769985975,0.7388535031847133,0.40764331210191085,15945.995660833338,696.0,384.0,941.0,326.0,15.0,253.0,608.0,333.0,688.0
060952523051,0.07688894436667398,0.36094810034290387,64.68548787015906,0.0,64.0,6.646390514847729,8.191740021277457,6.6895992691789665,2.3664516129032256,75837.37290322581,0.9564676616915423,4.490049751243781,10000.437870348862,769.0,3610.0,803.0,592.0,14.0,288.0,481.0,322.0,515.0
